report_date,market_and_exchange_names,open_interest_all,large_spec_net,commercial_net
2025-03-11 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28545,1529,-1301
2025-03-18 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30213,1841,-1747
2025-03-25 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29036,1179,-1150
2025-04-01 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27069,491,-306
2025-04-08 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26909,1332,-897
2025-04-15 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27126,586,-268
2025-04-22 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28202,-806,612
2025-04-29 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26966,-1231,915
2025-05-06 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27971,-1781,1541
2025-05-13 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29070,-827,1548
2025-05-20 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32033,-1952,1692
2025-05-27 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31964,-2274,1772
2025-06-03 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29758,-2312,1949
2025-06-10 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30261,-2009,1741
2025-06-17 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30860,-1784,1462
2025-06-24 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31352,-2161,1692
2025-07-01 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29388,-1756,1302
2025-07-08 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29591,-2436,1880
2025-07-15 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31309,-2486,1927
2025-07-22 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30797,-1852,1247
2025-07-29 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28068,-1008,530
2025-08-05 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27561,-1501,1195
2025-08-12 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27851,-742,118
2025-08-19 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28971,-1200,758
2025-08-26 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27481,-372,280
2025-09-02 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26684,-902,649
2025-09-09 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26930,-468,56
2025-09-16 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28844,20,-453
2025-09-23 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27809,79,-325
2025-09-30 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26874,-108,-78
2025-10-07 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29001,-1108,876
2025-10-14 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28503,-452,128
2025-10-21 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28477,-329,-140
2025-10-28 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28717,-543,117
2025-11-04 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27093,-275,31
2025-11-10 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27544,128,-99
2025-11-18 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27116,-312,161
2025-11-25 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26260,-83,-262
2025-12-02 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24329,567,-591
2025-12-09 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24793,265,-347
2025-12-16 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24502,106,19
2025-12-23 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21988,-479,453
2025-12-30 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20166,-513,626
2026-01-06 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22168,-734,658
2026-01-13 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23843,69,-134
2026-01-20 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24541,298,-445
2026-01-27 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24276,690,-585
2026-02-03 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23044,1008,-968
2026-02-10 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24157,1017,-1117
